         rBF           TC
  0.07547523   0.02265000
  0.07537513   0.02250000
  0.07527503   0.02235000
  0.07517492   0.02220000
  0.07507482   0.02205000
  0.07497472   0.02190000
  0.07487462   0.02175000
  0.07477452   0.02160000
  0.07467442   0.02145000
  0.07457432   0.02135000
  0.07447422   0.02120000
  0.07437412   0.02105000
  0.07427401   0.02090000
  0.07417391   0.02075000
  0.07407381   0.02065000
  0.07397371   0.02050000
  0.07387361   0.02035000
  0.07377351   0.02025000
  0.07367341   0.02010000
  0.07357331   0.01995000
  0.07347321   0.01985000
  0.07337310   0.01970000
  0.07327300   0.01955000
  0.07317290   0.01945000
  0.07307280   0.01930000
  0.07297270   0.01915000
  0.07287260   0.01905000
  0.07277250   0.01890000
  0.07267240   0.01880000
  0.07257230   0.01865000
  0.07247219   0.01855000
  0.07237209   0.01840000
  0.07227199   0.01830000
  0.07217189   0.01815000
  0.07207179   0.01805000
  0.07197169   0.01795000
  0.07187159   0.01780000
  0.07177149   0.01770000
  0.07167139   0.01755000
  0.07157128   0.01745000
  0.07147118   0.01735000
  0.07137108   0.01720000
  0.07127098   0.01710000
  0.07117088   0.01700000
  0.07107078   0.01685000
  0.07097068   0.01675000
  0.07087058   0.01665000
  0.07077048   0.01655000
  0.07067037   0.01640000
  0.07057027   0.01630000
  0.07047017   0.01620000
  0.07037007   0.01610000
  0.07026997   0.01595000
  0.07016987   0.01585000
  0.07006977   0.01575000
  0.06996967   0.01565000
  0.06986957   0.01555000
  0.06976946   0.01540000
  0.06966936   0.01530000
  0.06956926   0.01520000
  0.06946916   0.01510000
  0.06936906   0.01500000
  0.06926896   0.01490000
  0.06916886   0.01480000
  0.06906876   0.01470000
  0.06896866   0.01455000
  0.06886855   0.01445000
  0.06876845   0.01435000
  0.06866835   0.01425000
  0.06856825   0.01415000
  0.06846815   0.01405000
  0.06836805   0.01395000
  0.06826795   0.01385000
  0.06816785   0.01375000
  0.06806775   0.01365000
  0.06796764   0.01355000
  0.06786754   0.01345000
  0.06776744   0.01335000
  0.06766734   0.01325000
  0.06756724   0.01315000
  0.06746714   0.01305000
  0.06736704   0.01295000
  0.06726694   0.01285000
  0.06716684   0.01275000
  0.06706673   0.01265000
  0.06696663   0.01255000
  0.06686653   0.01245000
  0.06676643   0.01240000
  0.06666633   0.01230000
  0.06656623   0.01220000
  0.06646613   0.01210000
  0.06636603   0.01200000
  0.06626593   0.01190000
  0.06616582   0.01180000
  0.06606572   0.01170000
  0.06596562   0.01160000
  0.06586552   0.01150000
  0.06576542   0.01145000
  0.06566532   0.01135000
  0.06556522   0.01125000
  0.06546512   0.01115000
  0.06536502   0.01105000
  0.06526491   0.01095000
  0.06516481   0.01085000
  0.06506471   0.01075000
  0.06496461   0.01070000
  0.06486451   0.01060000
  0.06476441   0.01050000
  0.06466431   0.01040000
  0.06456421   0.01030000
  0.06446411   0.01020000
  0.06436400   0.01015000
  0.06426390   0.01005000
  0.06416380   0.00995000
  0.06406370   0.00985000
  0.06396360   0.00975000
  0.06386350   0.00965000
  0.06376340   0.00955000
  0.06366330   0.00950000
  0.06356320   0.00940000
  0.06346309   0.00930000
  0.06336299   0.00920000
  0.06326289   0.00910000
  0.06316279   0.00900000
  0.06306269   0.00890000
  0.06296259   0.00885000
  0.06286249   0.00875000
  0.06276239   0.00865000
  0.06266229   0.00855000
  0.06256218   0.00845000
  0.06246208   0.00835000
  0.06236198   0.00825000
  0.06226188   0.00815000
  0.06216178   0.00805000
  0.06206168   0.00795000
  0.06196158   0.00785000
  0.06186148   0.00775000
  0.06176138   0.00765000
  0.06166127   0.00755000
  0.06156117   0.00745000
  0.06146107   0.00735000
  0.06136097   0.00725000
  0.06126087   0.00715000
  0.06116077   0.00705000
  0.06106067   0.00695000
  0.06096057   0.00685000
  0.06086047   0.00675000
  0.06076036   0.00665000
  0.06066026   0.00650000
  0.06056016   0.00640000
  0.06046006   0.00630000
  0.06035996   0.00615000
  0.06025986   0.00605000
  0.06015976   0.00590000
  0.06005966   0.00580000
  0.05995956   0.00565000
  0.05985945   0.00550000
  0.05975935   0.00535000
  0.05965925   0.00520000
  0.05955915   0.00505000
  0.05945905   0.00490000
  0.05935895   0.00470000
  0.05925885   0.00450000
  0.05915875   0.00430000
  0.05905865   0.00405000
  0.05895854   0.00370000
  0.05885844   0.00330000
  0.05875834   0.00205000
  0.05865824   0.00000000
  0.05855814   0.00000000
  0.05845804   0.00000000
  0.05835794   0.00000000
  0.05825784   0.00000000
  0.05815774   0.00000000
  0.05805763   0.00000000
  0.05795753   0.00000000
  0.05785743   0.00000000
  0.05775733   0.00000000
  0.05765723   0.00000000
  0.05755713   0.00000000
  0.05745703   0.00000000
  0.05735693   0.00000000
  0.05725683   0.00000000
  0.05715672   0.00000000
  0.05705662   0.00000000
  0.05695652   0.00000000
  0.05685642   0.00000000
  0.05675632   0.00000000
  0.05665622   0.00000000
  0.05655612   0.00000000
  0.05645602   0.00000000
  0.05635592   0.00000000
  0.05625581   0.00000000
  0.05615571   0.00000000
  0.05605561   0.00000000
  0.05595551   0.00000000
  0.05585541   0.00000000
  0.05575531   0.00000000
  0.05565521   0.00000000
  0.05555511   0.00000000
  0.05545501   0.00000000
  0.05535490   0.00000000
  0.05525480   0.00000000
  0.05515470   0.00000000
  0.05505460   0.00000000
  0.05495450   0.00000000
  0.05485440   0.00000000
  0.05475430   0.00000000
  0.05465420   0.00000000
  0.05455410   0.00000000
  0.05445399   0.00000000
  0.05435389   0.00000000
  0.05425379   0.00000000
  0.05415369   0.00000000
  0.05405359   0.00000000
  0.05395349   0.00000000
  0.05385339   0.00000000
  0.05375329   0.00000000
  0.05365319   0.00000000
  0.05355308   0.00000000
  0.05345298   0.00000000
  0.05335288   0.00000000
  0.05325278   0.00000000
  0.05315268   0.00000000
  0.05305258   0.00000000
  0.05295248   0.00000000
  0.05285238   0.00000000
  0.05275228   0.00000000
  0.05265217   0.00000000
  0.05255207   0.00000000
  0.05245197   0.00000000
  0.05235187   0.00000000
  0.05225177   0.00000000
  0.05215167   0.00000000
  0.05205157   0.00000000
  0.05195147   0.00000000
  0.05185137   0.00000000
  0.05175126   0.00000000
  0.05165116   0.00000000
  0.05155106   0.00000000
  0.05145096   0.00000000
  0.05135086   0.00000000
  0.05125076   0.00000000
  0.05115066   0.00000000
  0.05105056   0.00000000
  0.05095046   0.00000000
  0.05085035   0.00000000
  0.05075025   0.00000000
  0.05065015   0.00000000
  0.05055005   0.00000000
  0.05044995   0.00000000
  0.05034985   0.00000000
  0.05024975   0.00000000
  0.05014965   0.00000000
  0.05004954   0.00000000
  0.04994944   0.00000000
  0.04984934   0.00000000
  0.04974924   0.00000000
  0.04964914   0.00000000
  0.04954904   0.00000000
  0.04944894   0.00000000
  0.04934884   0.00000000
  0.04924874   0.00000000
  0.04914863   0.00000000
  0.04904853   0.00000000
  0.04894843   0.00000000
  0.04884833   0.00000000
  0.04874823   0.00000000
  0.04864813   0.00000000
  0.04854803   0.00000000
  0.04844793   0.00000000
  0.04834783   0.00000000
  0.04824772   0.00000000
  0.04814762   0.00000000
  0.04804752   0.00000000
  0.04794742   0.00000000
  0.04784732   0.00000000
  0.04774722   0.00000000
  0.04764712   0.00000000
  0.04754702   0.00000000
  0.04744692   0.00000000
  0.04734681   0.00000000
  0.04724671   0.00000000
  0.04714661   0.00000000
  0.04704651   0.00000000
  0.04694641   0.00000000
  0.04684631   0.00000000
  0.04674621   0.00000000
  0.04664611   0.00000000
  0.04654601   0.00000000
  0.04644590   0.00000000
  0.04634580   0.00000000
  0.04624570   0.00000000
  0.04614560   0.00000000
  0.04604550   0.00000000
  0.04594540   0.00000000
  0.04584530   0.00000000
  0.04574520   0.00000000
  0.04564510   0.00000000
  0.04554499   0.00000000
  0.04544489   0.00000000
  0.04534479   0.00000000
  0.04524469   0.00000000
  0.04514459   0.00000000
  0.04504449   0.00000000
  0.04494439   0.00000000
  0.04484429   0.00000000
  0.04474419   0.00000000
  0.04464408   0.00000000
  0.04454398   0.00000000
  0.04444388   0.00000000
  0.04434378   0.00000000
  0.04424368   0.00000000
  0.04414358   0.00000000
  0.04404348   0.00000000
  0.04394338   0.00000000
  0.04384328   0.00000000
  0.04374317   0.00000000
  0.04364307   0.00000000
  0.04354297   0.00000000
  0.04344287   0.00000000
  0.04334277   0.00000000
  0.04324267   0.00000000
  0.04314257   0.00000000
  0.04304247   0.00000000
  0.04294237   0.00000000
  0.04284226   0.00000000
  0.04274216   0.00000000
  0.04264206   0.00000000
  0.04254196   0.00000000
  0.04244186   0.00000000
  0.04234176   0.00000000
  0.04224166   0.00000000
  0.04214156   0.00000000
  0.04204146   0.00000000
  0.04194135   0.00000000
  0.04184125   0.00000000
  0.04174115   0.00000000
  0.04164105   0.00000000
  0.04154095   0.00000000
  0.04144085   0.00000000
  0.04134075   0.00000000
  0.04124065   0.00000000
  0.04114055   0.00000000
  0.04104044   0.00000000
  0.04094034   0.00000000
  0.04084024   0.00000000
  0.04074014   0.00000000
  0.04064004   0.00000000
  0.04053994   0.00000000
  0.04043984   0.00000000
  0.04033974   0.00000000
  0.04023964   0.00000000
  0.04013953   0.00000000
  0.04003943   0.00000000
  0.03993933   0.00000000
  0.03983923   0.00000000
  0.03973913   0.00000000
  0.03963903   0.00000000
  0.03953893   0.00000000
  0.03943883   0.00000000
  0.03933873   0.00000000
  0.03923862   0.00000000
  0.03913852   0.00000000
  0.03903842   0.00000000
  0.03893832   0.00000000
  0.03883822   0.00000000
  0.03873812   0.00000000
  0.03863802   0.00000000
  0.03853792   0.00000000
  0.03843782   0.00000000
  0.03833771   0.00000000
  0.03823761   0.00000000
  0.03813751   0.00000000
  0.03803741   0.00000000
  0.03793731   0.00000000
  0.03783721   0.00000000
  0.03773711   0.00000000
  0.03763701   0.00000000
  0.03753691   0.00000000
  0.03743680   0.00000000
  0.03733670   0.00000000
  0.03723660   0.00000000
  0.03713650   0.00000000
  0.03703640   0.00000000
  0.03693630   0.00000000
  0.03683620   0.00000000
  0.03673610   0.00000000
  0.03663600   0.00000000
  0.03653589   0.00000000
  0.03643579   0.00000000
  0.03633569   0.00000000
  0.03623559   0.00000000
  0.03613549   0.00000000
  0.03603539   0.00000000
  0.03593529   0.00000000
  0.03583519   0.00000000
  0.03573509   0.00000000
  0.03563498   0.00000000
  0.03553488   0.00000000
  0.03543478   0.00000000
  0.03533468   0.00000000
  0.03523458   0.00000000
  0.03513448   0.00000000
  0.03503438   0.00000000
  0.03493428   0.00000000
  0.03483418   0.00000000
  0.03473407   0.00000000
  0.03463397   0.00000000
  0.03453387   0.00000000
  0.03443377   0.00000000
  0.03433367   0.00000000
  0.03423357   0.00000000
  0.03413347   0.00000000
  0.03403337   0.00000000
  0.03393327   0.00000000
  0.03383316   0.00000000
  0.03373306   0.00000000
  0.03363296   0.00000000
  0.03353286   0.00000000
  0.03343276   0.00000000
  0.03333266   0.00000000
  0.03323256   0.00000000
  0.03313246   0.00000000
  0.03303236   0.00000000
  0.03293225   0.00000000
  0.03283215   0.00000000
  0.03273205   0.00000000
  0.03263195   0.00000000
  0.03253185   0.00000000
  0.03243175   0.00000000
  0.03233165   0.00000000
  0.03223155   0.00000000
  0.03213145   0.00000000
  0.03203134   0.00000000
  0.03193124   0.00000000
  0.03183114   0.00000000
  0.03173104   0.00000000
  0.03163094   0.00000000
  0.03153084   0.00000000
  0.03143074   0.00000000
  0.03133064   0.00000000
  0.03123054   0.00000000
  0.03113043   0.00000000
  0.03103033   0.00000000
  0.03093023   0.00000000
  0.03083013   0.00000000
  0.03073003   0.00000000
  0.03062993   0.00000000
  0.03052983   0.00000000
  0.03042973   0.00000000
  0.03032963   0.00000000
  0.03022952   0.00000000
  0.03012942   0.00000000
  0.03002932   0.00000000
  0.02992922   0.00000000
  0.02982912   0.00000000
  0.02972902   0.00000000
  0.02962892   0.00000000
  0.02952882   0.00000000
  0.02942872   0.00000000
  0.02932861   0.00000000
  0.02922851   0.00000000
  0.02912841   0.00000000
  0.02902831   0.00000000
  0.02892821   0.00000000
  0.02882811   0.00000000
  0.02872801   0.00000000
  0.02862791   0.00000000
  0.02852781   0.00000000
  0.02842770   0.00000000
  0.02832760   0.00000000
  0.02822750   0.00000000
  0.02812740   0.00000000
  0.02802730   0.00000000
  0.02792720   0.00000000
  0.02782710   0.00000000
  0.02772700   0.00000000
  0.02762690   0.00000000
  0.02752679   0.00000000
  0.02742669   0.00000000
  0.02732659   0.00000000
  0.02722649   0.00000000
  0.02712639   0.00000000
  0.02702629   0.00000000
  0.02692619   0.00000000
  0.02682609   0.00000000
  0.02672599   0.00000000
  0.02662588   0.00000000
  0.02652578   0.00000000
  0.02642568   0.00000000
  0.02632558   0.00000000
  0.02622548   0.00000000
  0.02612538   0.00000000
  0.02602528   0.00000000
  0.02592518   0.00000000
  0.02582508   0.00000000
  0.02572497   0.00000000
  0.02562487   0.00000000
  0.02552477   0.00000000
  0.02542467   0.00000000
  0.02532457   0.00000000
  0.02522447   0.00000000
  0.02512437   0.00000000
  0.02502427   0.00000000
  0.02492417   0.00000000
  0.02482406   0.00000000
  0.02472396   0.00000000
  0.02462386   0.00000000
  0.02452376   0.00000000
  0.02442366   0.00000000
  0.02432356   0.00000000
  0.02422346   0.00000000
  0.02412336   0.00000000
  0.02402326   0.00000000
  0.02392315   0.00000000
  0.02382305   0.00000000
  0.02372295   0.00000000
  0.02362285   0.00000000
  0.02352275   0.00000000
  0.02342265   0.00000000
  0.02332255   0.00000000
  0.02322245   0.00000000
  0.02312235   0.00000000
  0.02302224   0.00000000
  0.02292214   0.00000000
  0.02282204   0.00000000
  0.02272194   0.00000000
  0.02262184   0.00000000
  0.02252174   0.00000000
  0.02242164   0.00000000
  0.02232154   0.00000000
  0.02222144   0.00000000
  0.02212133   0.00000000
  0.02202123   0.00000000
  0.02192113   0.00000000
  0.02182103   0.00000000
  0.02172093   0.00000000
  0.02162083   0.00000000
  0.02152073   0.00000000
  0.02142063   0.00000000
  0.02132053   0.00000000
  0.02122042   0.00000000
  0.02112032   0.00000000
  0.02102022   0.00000000
  0.02092012   0.00000000
  0.02082002   0.00000000
  0.02071992   0.00000000
  0.02061982   0.00000000
  0.02051972   0.00000000
  0.02041962   0.00000000
  0.02031951   0.00000000
  0.02021941   0.00000000
  0.02011931   0.00000000
  0.02001921   0.00000000
  0.01991911   0.00000000
  0.01981901   0.00000000
  0.01971891   0.00000000
  0.01961881   0.00000000
  0.01951871   0.00000000
  0.01941860   0.00000000
  0.01931850   0.00000000
  0.01921840   0.00000000
  0.01911830   0.00000000
  0.01901820   0.00000000
  0.01891810   0.00000000
  0.01881800   0.00000000
  0.01871790   0.00000000
  0.01861780   0.00000000
  0.01851769   0.00000000
  0.01841759   0.00000000
  0.01831749   0.00000000
  0.01821739   0.00000000
  0.01811729   0.00000000
  0.01801719   0.00000000
  0.01791709   0.00000000
  0.01781699   0.00000000
  0.01771689   0.00000000
  0.01761678   0.00000000
  0.01751668   0.00000000
  0.01741658   0.00000000
  0.01731648   0.00000000
  0.01721638   0.00000000
  0.01711628   0.00000000
  0.01701618   0.00000000
  0.01691608   0.00000000
  0.01681598   0.00000000
  0.01671587   0.00000000
  0.01661577   0.00000000
  0.01651567   0.00000000
  0.01641557   0.00000000
  0.01631547   0.00000000
  0.01621537   0.00000000
  0.01611527   0.00000000
  0.01601517   0.00000000
  0.01591507   0.00000000
  0.01581496   0.00000000
  0.01571486   0.00000000
  0.01561476   0.00000000
  0.01551466   0.00000000
  0.01541456   0.00000000
  0.01531446   0.00000000
  0.01521436   0.00000000
  0.01511426   0.00000000
  0.01501416   0.00000000
  0.01491405   0.00000000
  0.01481395   0.00000000
  0.01471385   0.00000000
  0.01461375   0.00000000
  0.01451365   0.00000000
  0.01441355   0.00000000
  0.01431345   0.00000000
  0.01421335   0.00000000
  0.01411325   0.00000000
  0.01401314   0.00000000
  0.01391304   0.00000000
  0.01381294   0.00000000
  0.01371284   0.00000000
  0.01361274   0.00000000
  0.01351264   0.00000000
  0.01341254   0.00000000
  0.01331244   0.00000000
  0.01321234   0.00000000
  0.01311223   0.00000000
  0.01301213   0.00000000
  0.01291203   0.00000000
  0.01281193   0.00000000
  0.01271183   0.00000000
  0.01261173   0.00000000
  0.01251163   0.00000000
  0.01241153   0.00000000
  0.01231143   0.00000000
  0.01221132   0.00000000
  0.01211122   0.00000000
  0.01201112   0.00000000
  0.01191102   0.00000000
  0.01181092   0.00000000
  0.01171082   0.00000000
  0.01161072   0.00000000
  0.01151062   0.00000000
  0.01141052   0.00000000
  0.01131041   0.00000000
  0.01121031   0.00000000
  0.01111021   0.00000000
  0.01101011   0.00000000
  0.01091001   0.00000000
  0.01080991   0.00000000
  0.01070981   0.00000000
  0.01060971   0.00000000
  0.01050961   0.00000000
  0.01040950   0.00000000
  0.01030940   0.00000000
  0.01020930   0.00000000
  0.01010920   0.00000000
  0.01000910   0.00000000
  0.00990900   0.00000000
  0.00980890   0.00000000
  0.00970880   0.00000000
  0.00960870   0.00000000
  0.00950859   0.00000000
  0.00940849   0.00000000
  0.00930839   0.00000000
  0.00920829   0.00000000
  0.00910819   0.00000000
  0.00900809   0.00000000
  0.00890799   0.00000000
  0.00880789   0.00000000
  0.00870779   0.00000000
  0.00860768   0.00000000
  0.00850758   0.00000000
  0.00840748   0.00000000
  0.00830738   0.00000000
  0.00820728   0.00000000
  0.00810718   0.00000000
  0.00800708   0.00000000
  0.00790698   0.00000000
  0.00780688   0.00000000
  0.00770677   0.00000000
  0.00760667   0.00000000
  0.00750657   0.00000000
  0.00740647   0.00000000
  0.00730637   0.00000000
  0.00720627   0.00000000
  0.00710617   0.00000000
  0.00700607   0.00000000
  0.00690597   0.00000000
  0.00680586   0.00000000
  0.00670576   0.00000000
  0.00660566   0.00000000
  0.00650556   0.00000000
  0.00640546   0.00000000
  0.00630536   0.00000000
  0.00620526   0.00000000
  0.00610516   0.00000000
  0.00600506   0.00000000
  0.00590495   0.00000000
  0.00580485   0.00000000
  0.00570475   0.00000000
  0.00560465   0.00000000
  0.00550455   0.00000000
  0.00540445   0.00000000
  0.00530435   0.00000000
  0.00520425   0.00000000
  0.00510415   0.00000000
  0.00500404   0.00000000
  0.00490394   0.00000000
  0.00480384   0.00000000
  0.00470374   0.00000000
  0.00460364   0.00000000
  0.00450354   0.00000000
  0.00440344   0.00000000
  0.00430334   0.00000000
  0.00420324   0.00000000
  0.00410313   0.00000000
  0.00400303   0.00000000
  0.00390293   0.00000000
  0.00380283   0.00000000
  0.00370273   0.00000000
  0.00360263   0.00000000
  0.00350253   0.00000000
  0.00340243   0.00000000
  0.00330233   0.00000000
  0.00320222   0.00000000
  0.00310212   0.00000000
  0.00300202   0.00000000
  0.00290192   0.00000000
  0.00280182   0.00000000
  0.00270172   0.00000000
  0.00260162   0.00000000
  0.00250152   0.00000000
  0.00240142   0.00000000
  0.00230131   0.00000000
  0.00220121   0.00000000
  0.00210111   0.00000000
  0.00200101   0.00000000
  0.00190091   0.00000000
  0.00180081   0.00000000
  0.00170071   0.00000000
  0.00160061   0.00000000
  0.00150051   0.00000000
  0.00140040   0.00000000
  0.00130030   0.00000000
  0.00120020   0.00000000
  0.00110010   0.00000000
  0.00100000   0.00000000
